CàP;Durée;KM;Allure/ KM;Vit. asc;D+;Pente;HRmean;Commentaires
7/11/24;0:20:00;4,6Km;0:04:21;;;;;Test 20’
16/11/24;0:05:00;1,3Km;0:03:52;;;;157;Test 5’
1/12/24;0:01:00;;0:04:07;;;;148;
1/12/24;0:04:00;;0:04:29;;;;152;
6/12/24;;5Km;12,5Km/h;;;;130;Tapis
15/12/24;;10Km;13Km/h;;;;141;Tapis
21/12/24;0:02:00;;14,5Km/h;;;;144;Tapis
5/1/25;0:02:00;;14,5Km/h;;;;135;Tapis
15/1/24;0:02:00;;14,5Km/h;;;;145;Tapis
19/1/25;0:04:00;;14,5Km/h;;;;138;Tapis
24/1/25;;3Km;13,4Km/h;;;;139;Tapis
5/1/25;;4Km;11,3Km/h;;;;118;ENC IM Tapis
6/1/25;;10Km;12,5Km/h;;;;130;Tapis - 10 dernier KM d’une séance de 21Km Tempo
19/2/25;;1Km;0:04:20;;;;143;Tapis
28/2/25;;10Km;0:04:59;;;;130;
6/3/25;0:45:00;;0:04:29;;;;148;Test ENC outdoor
9/3/25;;14Km;0:05:10;;;;133;ENC IM
14/3/25;;21Km;0:05:16;;;;132;ENC IM
20/3/25;;12Km;0:05:05;;;;137;ENC IM
30/3/25;;42Km;0:05:51;;;;134;IM AFS
1/5/25;0:10:00;;13,6Km/h;;;;140;Tapis
4/5/25;;20Km;0:05:10;;;;128;
8/5/25;;1Km;0:04:17;;;;145;ENC 
9/5/25;0:57:00;;0:05:00;;;;133;
9/5/25;0:03:00;;0:04:07;;;;149;
14/5/25;0:01:30;;0:04:10;;;;145;
15/5/25;0:10:00;;0:04:56;;;;132;
19/5/25;0:04:00;;0:04:28;;;;144;
1/6/25;0:02:00;;0:04:19;;;;143;
3/6/25;1:00:00;;0:05:11;;;;130;
8/6/25;;4,8Km;0:04:35;;;;144;Tri Sprint Obernai
15/6/25;;10Km;0:04:51;;;;130;ENC
20/6/25;0:12:00;;0:05:00;;;;136;
29/6/25;;20.5Km;0:04:58;;;;141;70.3 Nice
23/7/25;0:05:00;;0:04:11;;;;142;
27/7/25;1:00:00;;0:05:07;;;;137;
31/7/25;;4Km;0:04:54;;;;128;ENC IM
1/8/25;;20Km;0:05:11;;;;121;
20/8/25;;5Km;0:05:02;;;;128;ENC
30/8/25;1:00:00;;0:05:09;;;;118;
2/9/25;;6Km;0:05:02;;;;130;ENC IM
3/9/25;;20Km;0:05:15;;;;122;
7/9/25;0:02:00;;0:04:13;;;;147;
9/9/25;;8Km;0:05:07;;;;123;ENC BTD
21/9/25;;25Km;0:05:08;;;;124;
3/10/25;;4Km;0:05:12;;;;140;ENC IM
4/10/25;0:50:00;;0:05:11;;;;143;
6/10/25;0:01:30;;0:04:32;;;;145;
22/11/25;0:08:00;;0:04:59;;;;129;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;712m/ h;447m;18 %;;
;;;;748m/ h;604m;15,8 %;;
;;;;;;;;
;;;;726m/ h ;951m;14,6 %;;
