CàP;Durée;KM;Allure/ KM;HRmean;DC;HR Drift;RPE;Commentaires
30/3/23;;1Km;0:04:19;151;;;;
9/4/23;;2Km;0:04:20;158;;;;
13/4/23;0:08:00;;0:04:21;151;;;;
13/4/23;0:04:00;;0:03:56;160;;;;
11/5/23;0:04:00;;0:03:52;166;;;;
25/5/23;0:05:00;;0:03:50;165;;;;
1/6/23;;2Km;0:04:15;153;;;;
3/6/23;;5Km;0:04:19;153;;;;
8/6/23;;3Km;0:03:55;170;;;;
15/6/23;;5Km;0:04:06;161;;;;
18/6/23;;4Km;0:04:36;152;;;;
2/7/23;;21Km;0:04:15;151;;;;70.3 Sables
20/7/23;;1Km;0:04:08;159;;;;
23/7/23;;15Km;0:04:13;155;;;;
13/8/23;;12Km;0:04:15;152;;;;
14/8/23;0:05:00;;0:04:02;167;;;;
17/8/23;;5Km;0:04:11;154;;;;
20/8/23;;14Km;0:04:22;143;;;;
20/8/23;;2Km;0:04:03;162;;;;
24/8/23;;1Km;0:03:43;168;;;;
27/8/23;;2,5Km;0:04:13;148;;;;
27/8/23;;500m;0:03:38;168;;;;
17/9/23;;20,8Km;0:04:14;170;;;;70.3 Belgique
5/10/23;;5Km;0:04:20;162;;;;
11/10/23;;8Km;0:04:25;149;;;;
11/10/23;;2Km;0:04:03;171;;;;
15/10/23;;2Km;0:03:59;160;;;;
15/10/23;;500m;0:03:33;170;;;;
21/10/23;;21Km;0:04:10;160;;;;70.3 Cascais
3/11/23;;500m;0:03:38;176;;;;
10/11/2023;0:01:00;;0:03:39;166;;;;
12/11/23;;9Km;0:04:12;151;;;;
12/11/23;;1Km;0:03:30;176;;;;
19/11/23;;11Km;0:04:09;152;;;;
19/11/23;;1Km;0:03:31;175;;;;
23/11/23;0:02:00;;17,25Km/h;170;;;;Tapis
25/11/23;0:03:00;;16,4Km/h ;169;;;;Tapis
3/12/23;;5Km;0:04:10;157;;;;
7/12/23;;;17Km/h;;;;;
9/12/23;;1Km;0:03:41;167;;;;
11/1/24;;2Km;14,3;154;;;;Tapis
18/1/24;0:03:00;;16,2Km/h;172;;;;Tapis
21/1/24;0:02:00;;0:03:35;172;;;;
25/1/24;0:04:00;;0:03:47;157;;;;
28/1/24;;5Km;0:04:10;156;;;;
1/2/24;0:37:00;;14,2Km/h;147;;;;Tapis
1/2/24;0:03:00;;17Km/h;170;;;;
4/2/24;;6Km;0:04:11;149;;;;
8/2/24;0:20:00;;0:03:53;163;;;;
10/2/24;;10Km;0:04:25;143;;;;ENC
28/2/24;;8Km;0:04:10;150;1,05;;;ENC
2/3/23;0:01:00;;0:03:30;165;;;;
4/3/24;0:15:00;;0:03:56;165;;;;
7/3/24;;14Km;0:04:26;147;;;;ENC
14/3/24;;1Km;0:03:35;167;;;;
16/3/24;;12Km;0:04:12;148;;;;ENC
21/3/24;;10Km;0:03:50;158;;;;
6/4/24;;14Km;0:04:06;150;1,03;;;
14/4/24;;10Km;0:04:18;152;;;;ENC
21/4/24;;4Km;0:04:12;145;;;;ENC
23/4/24;;4Km;0:03:56;150;;;;ENC
24/4/24;0:02:00;;0:03:45;165;;;;Tapis
7/5/24;;1Km;0:03:40;164;;;;
12/5/24;;10Km;0:04:28;142;;;;ENC
15/5/24;;5Km;0:04:11;140;;;;ENC
20/5/24;;1Km;0:04:06;149;;;;
25/5/24;;1Km;0:03:42;169;;;;
29/5/24;;5Km;0:04:08;140;;;;ENC
30/5/24;;2Km;0:03:50;161;;;;
5/6/24;0:08:00;;0:03:52;163;;;;ENC
13/6/24;;10Km;0:03:53;159;;;;
15/6/24;;25Km;0:04:13;143;;;;
25/6/24;;11Km;0:04:20;148;;;;
30/6/24;;20,6Km;0:04:14;;;;;Half Embrun
11/7/24;;1Km;0:03:59;166;;;;
17/7/24;;8Km;0:04:25;142;;;;ENC
25/7/24;;2Km;0:03:48;161;;;;
19/9/24;;1Km;0:04:11;149;;;;
17/10/24;0:37:00;;0:04:16;147;;;;
17/10/24;0:03:00;;0:03:37;170;;;;
20/10/24;;1Km;0:03:48;158;;;;
20/10/24;;6Km;0:04:03;159;;;;
24/10/24;;5Km;0:04:08;152;;;;
31/10/24;0:03:00;;0:03:51;161;;;;
2/1/25;;2Km;0:04:08;156;;;;
8/1/25;0:02:00;;0:03:55;160;;;;
5/3/25;0:02:00;;0:03:45;161;;;;Tapis
9/3/25;;7Km;0:04:12;164;;;;
;0:03:00;;0:03:52;165;;;;Tapis
2/4/25;;1Km;0:03:46;163;;;;
20/4/25;;4Km;0:04:20;155;;;;
